n,v0,v1,v2,v3,v4,v5,v6
1024,240.312,239.491,236.806,239.394,233.565,229.264,224.097
2048,251.64,254.55,242.638,239.987,238.656,234.28,223.814
4096,276.699,273.887,256.654,253.212,244.157,240.577,229.622
8192,322.274,317.585,278.884,276.19,266.179,256.616,232.864
16384,415.455,406.568,330.967,323.458,297.947,295.166,238.999
32768,596.734,585.888,428.538,421.053,369.893,359.541,253.405
65536,988.947,956.003,638.412,619.418,512.08,499.959,278.703
131072,1731.547,1684.201,1030.41,1006.121,786.42,775.263,336.445
262144,3258.022,3087.745,1825.922,1801.965,1348.936,1334.619,453.447
524288,6144.154,5897.805,3384.534,3357.322,2468.333,2438.926,683.436
1048576,11915.655,11487.449,6499.384,6447.06,4696.589,4633.507,1137.336
2097152,23785.345,22911.308,15246.618,15178.369,11639.199,9043.978,2038.35
